,index,film_title,year,genre,duration,avg_vote
0,28263,Hannibal,2001,Thriller,128,5.3
1,28281,AntiTrust,2001,Thriller,108,5.3
2,28285,The Center of the World,2001,Drama,87,4.3
3,28286,Valentine,2001,Horror,95,4.6
4,28287,Town & Country,2001,Comedy,106,5.9
5,28289,The Mummy Returns,2001,Adventure,124,5.4
6,28291,Firetrap,2001,Action,90,7.5
7,28293,Serie 7: The Contenders,2001,Grotesque,88,6.3
8,28299,Body Shots,2001,Drama,104,5.4
9,28302,Lloyd,2001,Fantasy,90,6.0
10,28304,Little Nicky,2001,Comedy,100,3.7
11,28305,Tart,2001,Drama,91,4.3
12,28306,Tomcats,2001,Comedy,95,5.2
13,28307,Say It Isn't So,2001,Comedy,92,5.9
14,28308,Replicant,2001,Action,94,4.1
15,28309,Monkeybone,2001,Comedy,98,6.7
16,28310,Evolution,2001,Fantasy,102,4.4
17,28311,Pearl Harbor,2001,War,162,4.8
18,28314,Spy Kids,2001,Comedy,96,5.7
19,28316,Driven,2001,Action,117,3.8
20,28321,Kingdom Come,2001,Comedy,94,5.3
21,28322,Dr. Dolittle 2,2001,Comedy,87,3.6
22,28324,Jurassic Park III,2001,Adventure,90,4.6
23,28328,Lightning: Fire From Sky,2001,Action,87,5.9
24,28330,The Unsaid,2001,Thriller,100,5.6
25,28331,Planet of the Apes,2001,Fantasy,107,5.6
26,28333,Heartbreakers,2001,Comedy,123,5.5
27,28334,Save the Last Dance,2001,Musical,90,3.9
28,28340,Crazy/Beautiful,2001,Drama,100,6.1
29,28342,Bounce,2001,Comedy,100,4.2
30,28343,John Carpenter's Ghosts of Mars,2001,Fantasy,100,6.7
31,28345,Session 9,2001,Horror,100,7.2
32,28347,Blow,2001,Drama,124,6.3
33,28348,The Fast and the Furious,2001,Action,107,5.6
34,28349,Swordfish,2001,Action,99,6.1
35,28351,Ruby's Bucket of Blood,2001,Drama,90,6.0
36,28361,The Score,2001,Thriller,125,6.2
37,28363,Harrison's Flowers,2001,Drama,130,5.4
38,28365,American Pie 2,2001,Comedy,106,5.8
39,28366,Cats & Dogs,2001,Comedy,87,5.2
40,28369,Original Sin,2001,Drama,116,4.6
41,28370,Baby Boy,2001,Comedy,129,6.6
42,28371,Capitan Corelli's Mandolin,2001,Drama,130,4.7
43,28372,A Knight's Tale,2001,Adventure,132,5.5
44,28377,The Pledge,2001,Drama,123,7.7
